Region,Kon,Alder,Fodelseregion,2022
1281 Lund,totalt,16-64 år,totalt,4.3
1282 Landskrona,totalt,16-64 år,totalt,7.4
1283 Helsingborg,totalt,16-64 år,totalt,7.6
1284 Höganäs,totalt,16-64 år,totalt,3.4
1285 Eslöv,totalt,16-64 år,totalt,5.2
1286 Ystad,totalt,16-64 år,totalt,3.7
1287 Trelleborg,totalt,16-64 år,totalt,5.3
1290 Kristianstad,totalt,16-64 år,totalt,7.1
1291 Simrishamn,totalt,16-64 år,totalt,4.2
1292 Ängelholm,totalt,16-64 år,totalt,3.4
1293 Hässleholm,totalt,16-64 år,totalt,6.5
1315 Hylte,totalt,16-64 år,totalt,6.1
1380 Halmstad,totalt,16-64 år,totalt,5.2
1381 Laholm,totalt,16-64 år,totalt,3.9
1382 Falkenberg,totalt,16-64 år,totalt,4.0
1383 Varberg,totalt,16-64 år,totalt,2.4
1384 Kungsbacka,totalt,16-64 år,totalt,1.8
1401 Härryda,totalt,16-64 år,totalt,2.3
1402 Partille,totalt,16-64 år,totalt,3.3
1407 Öckerö,totalt,16-64 år,totalt,1.9
1415 Stenungsund,totalt,16-64 år,totalt,2.5
1419 Tjörn,totalt,16-64 år,totalt,1.8
1421 Orust,totalt,16-64 år,totalt,2.7
1427 Sotenäs,totalt,16-64 år,totalt,2.0
1430 Munkedal,totalt,16-64 år,totalt,3.6
1435 Tanum,totalt,16-64 år,totalt,2.6
1438 Dals-Ed,totalt,16-64 år,totalt,4.2
1439 Färgelanda,totalt,16-64 år,totalt,4.8
1440 Ale,totalt,16-64 år,totalt,2.6
1441 Lerum,totalt,16-64 år,totalt,2.3
1442 Vårgårda,totalt,16-64 år,totalt,3.5
1443 Bollebygd,totalt,16-64 år,totalt,2.3
1444 Grästorp,totalt,16-64 år,totalt,2.7
1445 Essunga,totalt,16-64 år,totalt,4.0
1446 Karlsborg,totalt,16-64 år,totalt,3.0
1447 Gullspång,totalt,16-64 år,totalt,6.7
1452 Tranemo,totalt,16-64 år,totalt,2.6
1460 Bengtsfors,totalt,16-64 år,totalt,6.2
1461 Mellerud,totalt,16-64 år,totalt,6.1
1462 Lilla Edet,totalt,16-64 år,totalt,3.7
1463 Mark,totalt,16-64 år,totalt,2.8
1465 Svenljunga,totalt,16-64 år,totalt,3.6
1466 Herrljunga,totalt,16-64 år,totalt,2.7
1470 Vara,totalt,16-64 år,totalt,3.4
1471 Götene,totalt,16-64 år,totalt,2.9
1472 Tibro,totalt,16-64 år,totalt,5.3
1473 Töreboda,totalt,16-64 år,totalt,5.3
1480 Göteborg,totalt,16-64 år,totalt,5.2
1481 Mölndal,totalt,16-64 år,totalt,2.6
1482 Kungälv,totalt,16-64 år,totalt,2.5
1484 Lysekil,totalt,16-64 år,totalt,4.2
1485 Uddevalla,totalt,16-64 år,totalt,5.3
1486 Strömstad,totalt,16-64 år,totalt,3.0
1487 Vänersborg,totalt,16-64 år,totalt,5.6
1488 Trollhättan,totalt,16-64 år,totalt,6.8
1489 Alingsås,totalt,16-64 år,totalt,3.4
1490 Borås,totalt,16-64 år,totalt,4.8
1491 Ulricehamn,totalt,16-64 år,totalt,2.8
1492 Åmål,totalt,16-64 år,totalt,7.3
1493 Mariestad,totalt,16-64 år,totalt,3.4
1494 Lidköping,totalt,16-64 år,totalt,3.0
1495 Skara,totalt,16-64 år,totalt,4.1
1496 Skövde,totalt,16-64 år,totalt,3.5
1497 Hjo,totalt,16-64 år,totalt,3.0
1498 Tidaholm,totalt,16-64 år,totalt,2.7
1499 Falköping,totalt,16-64 år,totalt,4.9
1715 Kil,totalt,16-64 år,totalt,3.7
1730 Eda,totalt,16-64 år,totalt,4.1
1737 Torsby,totalt,16-64 år,totalt,3.3
1760 Storfors,totalt,16-64 år,totalt,5.7
1761 Hammarö,totalt,16-64 år,totalt,2.5
1762 Munkfors,totalt,16-64 år,totalt,5.9
1763 Forshaga,totalt,16-64 år,totalt,4.2
1764 Grums,totalt,16-64 år,totalt,5.2
1765 Årjäng,totalt,16-64 år,totalt,2.5
1766 Sunne,totalt,16-64 år,totalt,3.1
1780 Karlstad,totalt,16-64 år,totalt,4.5
1781 Kristinehamn,totalt,16-64 år,totalt,5.8
1782 Filipstad,totalt,16-64 år,totalt,8.2
1783 Hagfors,totalt,16-64 år,totalt,3.9
1784 Arvika,totalt,16-64 år,totalt,3.1
1785 Säffle,totalt,16-64 år,totalt,6.6
1814 Lekeberg,totalt,16-64 år,totalt,2.3
1860 Laxå,totalt,16-64 år,totalt,5.5
1861 Hallsberg,totalt,16-64 år,totalt,4.0
1862 Degerfors,totalt,16-64 år,totalt,6.6
1863 Hällefors,totalt,16-64 år,totalt,6.6
1864 Ljusnarsberg,totalt,16-64 år,totalt,6.6
1880 Örebro,totalt,16-64 år,totalt,5.4
1881 Kumla,totalt,16-64 år,totalt,3.8
1882 Askersund,totalt,16-64 år,totalt,3.3
1883 Karlskoga,totalt,16-64 år,totalt,4.5
1884 Nora,totalt,16-64 år,totalt,4.5
1885 Lindesberg,totalt,16-64 år,totalt,5.0
1904 Skinnskatteberg,totalt,16-64 år,totalt,5.6
1907 Surahammar,totalt,16-64 år,totalt,4.8
1960 Kungsör,totalt,16-64 år,totalt,6.2
1961 Hallstahammar,totalt,16-64 år,totalt,5.1
1962 Norberg,totalt,16-64 år,totalt,6.0
1980 Västerås,totalt,16-64 år,totalt,6.3
1981 Sala,totalt,16-64 år,totalt,4.9
1982 Fagersta,totalt,16-64 år,totalt,8.8
1983 Köping,totalt,16-64 år,totalt,6.4
1984 Arboga,totalt,16-64 år,totalt,5.1
2021 Vansbro,totalt,16-64 år,totalt,2.8
2023 Malung-Sälen,totalt,16-64 år,totalt,2.4
2026 Gagnef,totalt,16-64 år,totalt,2.3
2029 Leksand,totalt,16-64 år,totalt,2.3
2031 Rättvik,totalt,16-64 år,totalt,2.6
2034 Orsa,totalt,16-64 år,totalt,4.3
2039 Älvdalen,totalt,16-64 år,totalt,3.8
2061 Smedjebacken,totalt,16-64 år,totalt,3.8
2062 Mora,totalt,16-64 år,totalt,2.7
2080 Falun,totalt,16-64 år,totalt,3.2
2081 Borlänge,totalt,16-64 år,totalt,6.4
2082 Säter,totalt,16-64 år,totalt,2.7
2083 Hedemora,totalt,16-64 år,totalt,5.4
2084 Avesta,totalt,16-64 år,totalt,6.8
